Fecha_Deteccion,Contrato_Sospechoso,Organismo,Indicador_Riesgo,Evidencia_Legal_BOE,Teoria_Aplicada,link
2026-02-17,"Orden INT/1019/2021, de 27 de septiembre, por la que se adoptan medidas excepcionales en materia de formación permanente de los vigilantes de seguridad privada como consecuencia de la situación de crisis sanitaria ocasionada por COVID-19.",Ministerio del Interior,Acuerdo Colusorio / Discrecionalidad,"Ley 15/2009, de 11 de noviembre, del contrato de transporte terrestre de mercancías.",Transferencia de ingresos vía legalidad,
2026-02-17,"Orden INT/1019/2021, de 27 de septiembre, por la que se adoptan medidas excepcionales en materia de formación permanente de los vigilantes de seguridad privada como consecuencia de la situación de crisis sanitaria ocasionada por COVID-19.",Ministerio del Interior,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 14/2020, de 7 de agosto, del Consell, de medidas para acelerar la implantación de instalaciones para el aprovechamiento de las energías renovables por la emergencia climática y la necesidad de la urgente reactivación económica.",Transferencia de ingresos vía legalidad,
2026-02-17,"Orden INT/1019/2021, de 27 de septiembre, por la que se adoptan medidas excepcionales en materia de formación permanente de los vigilantes de seguridad privada como consecuencia de la situación de crisis sanitaria ocasionada por COVID-19.",Ministerio del Interior,Acuerdo Colusorio / Discrecionalidad,"Ley 10/2016, de 1 de diciembre, de medidas de emergencia en relación con las prestaciones económicas del Sistema Público de Servicios Sociales y con el acceso a la vivienda en la Comunidad Autónoma de Aragón.",Transferencia de ingresos vía legalidad,
2026-02-17,"Orden INT/1019/2021, de 27 de septiembre, por la que se adoptan medidas excepcionales en materia de formación permanente de los vigilantes de seguridad privada como consecuencia de la situación de crisis sanitaria ocasionada por COVID-19.",Ministerio del Interior,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 16/2019, de 26 de noviembre, de medidas urgentes para la emergencia climática y el impulso a las energías renovables.",Transferencia de ingresos vía legalidad,
2026-02-17,"Orden INT/1019/2021, de 27 de septiembre, por la que se adoptan medidas excepcionales en materia de formación permanente de los vigilantes de seguridad privada como consecuencia de la situación de crisis sanitaria ocasionada por COVID-19.",Ministerio del Interior,Acuerdo Colusorio / Discrecionalidad,"Ley 9/2016, de 28 de octubre, de Regulación de los Procedimientos de Emergencia Ciudadana en la Administración de la Comunitat Valenciana.",Transferencia de ingresos vía legalidad,
2026-02-17,"Decreto-ley 43/2020, de 17 de noviembre, por el cual se habilita el Consejo Catalán del Deporte para el otorgamiento de ayudas extraordinarias y de emergencia para hacer frente a la suspensión de la apertura al público de las instalaciones y de los equipamientos deportivos en Cataluña, se crea el Fondo extraordinario adicional 2020 para los entes locales, y se modifica el Decreto-ley 41/2020, de 10 de noviembre, de medidas extraordinarias de carácter social en centros educativos y en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a la crisis sanitaria, económica y social generada por la COVID-19.",Comunidad Autónoma de Cataluña,Acuerdo Colusorio / Discrecionalidad,"Ley 15/2009, de 11 de noviembre, del contrato de transporte terrestre de mercancías.",Transferencia de ingresos vía legalidad,
2026-02-17,"Decreto-ley 43/2020, de 17 de noviembre, por el cual se habilita el Consejo Catalán del Deporte para el otorgamiento de ayudas extraordinarias y de emergencia para hacer frente a la suspensión de la apertura al público de las instalaciones y de los equipamientos deportivos en Cataluña, se crea el Fondo extraordinario adicional 2020 para los entes locales, y se modifica el Decreto-ley 41/2020, de 10 de noviembre, de medidas extraordinarias de carácter social en centros educativos y en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a la crisis sanitaria, económica y social generada por la COVID-19.",Comunidad Autónoma de Cataluña,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 14/2020, de 7 de agosto, del Consell, de medidas para acelerar la implantación de instalaciones para el aprovechamiento de las energías renovables por la emergencia climática y la necesidad de la urgente reactivación económica.",Transferencia de ingresos vía legalidad,
2026-02-17,"Decreto-ley 43/2020, de 17 de noviembre, por el cual se habilita el Consejo Catalán del Deporte para el otorgamiento de ayudas extraordinarias y de emergencia para hacer frente a la suspensión de la apertura al público de las instalaciones y de los equipamientos deportivos en Cataluña, se crea el Fondo extraordinario adicional 2020 para los entes locales, y se modifica el Decreto-ley 41/2020, de 10 de noviembre, de medidas extraordinarias de carácter social en centros educativos y en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a la crisis sanitaria, económica y social generada por la COVID-19.",Comunidad Autónoma de Cataluña,Acuerdo Colusorio / Discrecionalidad,"Ley 10/2016, de 1 de diciembre, de medidas de emergencia en relación con las prestaciones económicas del Sistema Público de Servicios Sociales y con el acceso a la vivienda en la Comunidad Autónoma de Aragón.",Transferencia de ingresos vía legalidad,
2026-02-17,"Decreto-ley 43/2020, de 17 de noviembre, por el cual se habilita el Consejo Catalán del Deporte para el otorgamiento de ayudas extraordinarias y de emergencia para hacer frente a la suspensión de la apertura al público de las instalaciones y de los equipamientos deportivos en Cataluña, se crea el Fondo extraordinario adicional 2020 para los entes locales, y se modifica el Decreto-ley 41/2020, de 10 de noviembre, de medidas extraordinarias de carácter social en centros educativos y en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a la crisis sanitaria, económica y social generada por la COVID-19.",Comunidad Autónoma de Cataluña,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 16/2019, de 26 de noviembre, de medidas urgentes para la emergencia climática y el impulso a las energías renovables.",Transferencia de ingresos vía legalidad,
2026-02-17,"Decreto-ley 43/2020, de 17 de noviembre, por el cual se habilita el Consejo Catalán del Deporte para el otorgamiento de ayudas extraordinarias y de emergencia para hacer frente a la suspensión de la apertura al público de las instalaciones y de los equipamientos deportivos en Cataluña, se crea el Fondo extraordinario adicional 2020 para los entes locales, y se modifica el Decreto-ley 41/2020, de 10 de noviembre, de medidas extraordinarias de carácter social en centros educativos y en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a la crisis sanitaria, económica y social generada por la COVID-19.",Comunidad Autónoma de Cataluña,Acuerdo Colusorio / Discrecionalidad,"Ley 9/2016, de 28 de octubre, de Regulación de los Procedimientos de Emergencia Ciudadana en la Administración de la Comunitat Valenciana.",Transferencia de ingresos vía legalidad,
