entidad,n_fondos,importe_total,sog_medio,res_medio,via_medio,score_medio,icr,score_riesgo,nivel_riesgo
Fundación Oxfam Colombia,1,350000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Oxfam Intermón,5,3515021.0,41.0,44.0,59.4,39.42999999999999,2.5,33.9,Medio
Fundación Pacífico Administración,1,614000.0,45.0,44.0,48.0,38.55,2.5,33.1,Medio
Fundación Plan Internacional España,4,3499992.0,45.0,44.0,52.5,39.449999999999996,2.5,33.9,Medio
Fundación Princesa Diana,1,390000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Proclade Yanapay,1,646295.0,45.0,44.0,48.0,38.55,2.5,33.1,Medio
Fundación Propetén,2,750000.0,35.0,44.0,60.0,37.45,2.5,32.2,Medio
Fundación SEMG Solidaria,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Save The Children,4,3453247.0,45.0,44.0,71.0,43.14999999999999,2.5,37.1,Medio
Fundación Tierra de Hombres España,1,987783.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fundación Triángulo,1,552774.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fundación Universidad Estatal a Distancia para el Desarrollo y Promoción de la Educación a Distancia,1,80000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Universidad Loyola Andalu,1,492879.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Universidad de Costa Rica,1,300000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Fundación Universidad de Costa Rica para la Investigación,5,945000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación World Vision International,1,1000000.0,45.0,44.0,72.0,43.349999999999994,2.5,37.2,Medio
Fundación de Solidaridad Amaranta,1,459030.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación del Valle,3,2209863.0,45.0,44.0,54.333333333333336,39.81666666666666,2.5,34.2,Medio
Fundación la Merced,1,150000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación para Investigación del Clima,1,588001.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Fundación para el Avance de las Reformas y las Oportunidades Grupo Faro,1,300000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Fundación para el Desarrollo Comunitario Save The Children Dominicana INC,1,203750.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación para la Cooperación APY Solidaridad,1,319979.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Funide,1,174999.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
GAFSP - Programa Global para la Agricultura y la Seguridad Alimentaria,1,8000000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
GPE - Global Partnership for Education,1,20000000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
Gobierno Autónomo Municipal La Paz,2,110000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Gobierno Autónomo Municipal Potosí,2,200000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Grupo GEA,2,605348.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Grupo Sunu de Acción Intercultural,1,140000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
HEGOA - Instituto de Estudios sobre Desarrollo y Cooperación Internacional,1,129776.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
HIAS Ecuador (HIAS Panamá),1,450000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
HORIZONT3000 - Organización Austriaca de Cooperación para el desarrollo,1,542853.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Habitat para la Humanidad Paraguay,1,500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Haqel,1,300000.0,25.0,44.0,72.0,36.35,2.5,31.3,Medio
Health & Psychology,1,150000.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
Helvetas Swiss Intercooperation,1,600000.0,45.0,44.0,85.0,45.949999999999996,2.5,39.4,Medio
ICARDA - International Center for Agricultur Research in the Dry Areas,1,250000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
ICC - Instituto Privado de Investigación sobre Cambio Climático,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
ICCPG - Instituto de Estudios Comparados en Ciencias Penales de Guatemala,1,150000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
ICEFI - Instituto Centroamericano de Estudios Fiscales,1,250000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
ICIEG - Instituto Caboverdiano de Igualdad y Equidad de Género,1,450000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
IDEA - International Institute for Democracy & Electoral Assistance,1,350000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
IDEA Internacional,1,178000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
IFEMA - Institución Ferial de Madrid,2,80000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
IICA - Instituto Interamericano de Cooperación para la Agricultura,2,550000.0,25.0,44.0,53.5,32.650000000000006,2.5,28.1,Medio
ILGA World,1,290798.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
IMIPAS - Instituto Mexicano de Investigación en Pesca y Acuacultura Sustentables,1,400000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
INACAL - Instituto Nacional de Calidad,1,570200.0,45.0,44.0,50.0,38.949999999999996,2.5,33.5,Medio
INDEMAYA - Instituto para el Desarrollo de la Cultura Maya del Estado de Yucatan,1,80000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
INDOCAFE - Instituto Dominicano del Café,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
INFOTEP - Instituto Nacional de Formación Técnico Profesional,1,800000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
IPDR de Níger,1,299998.0,25.0,44.0,75.0,36.95,2.5,31.8,Medio
IPYS - Instituto Prensa y Sociedad,2,450000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
ISGlobal - Fundación Privada Instituto de Salud Global,1,444743.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
ISIS - Instituto de Salud Incluyente de Guatemala,1,400000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
ITC - Centro Comercio Internacional,1,1500000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
Institut Europeu de la Mediterrània,2,1199999.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
Institut des Religieuses de Marie Immaculée,1,200000.0,25.0,44.0,78.0,37.55,2.5,32.3,Medio
Instituto Desarrollo,2,1000000.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
Instituto Interamericano para la Agricultura,1,900000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Instituto Nacional de Salud de Mozambique,1,700000.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Instituto Tecnológico Producción,1,95000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Instituto de Comunicación y Desarrollo ICD,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Instituto de Estudios Sobre Conflictos y Accion Humanitaria,3,320004.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
Instituto de Investigación Geológico y Energético,1,269999.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
JUSDEM - Asociación de Jueces para la Justicia y la Democracia,1,280000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Jurisdicción Especial para la Paz,1,500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Justicia Alimentaria,4,2099517.0,35.0,44.0,59.25,37.3,2.5,32.1,Medio
Karapatan Alliance Philippines Inc,1,139312.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
King Hussein Cancer Fundation,1,500000.0,45.0,44.0,40.0,36.949999999999996,2.5,31.8,Medio
"Kultura, Communication y Desarrollo",1,600000.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
LEECP - Liga Española de la Educación y la Cultura Popular,1,288010.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
LIDEMA - Liga de Defensa del Medio Ambiente,1,20000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Las Hormigas,1,200000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Life Vision for Development Organization,1,250000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
MIPROS - Mouvement Integration Pour la Promotion Sociale,1,550045.0,45.0,44.0,85.0,45.949999999999996,2.5,39.4,Medio
MIPY - Asociación Articulación de Mujeres Indígenas del Paraguay,1,100000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",6,4355634.0,38.333333333333336,44.0,69.16666666666667,40.449999999999996,2.5,34.8,Medio
MUSOL - Municipalistas por la Solid,1,801736.0,45.0,44.0,52.0,39.349999999999994,2.5,33.8,Medio
MZC - Mujeres en Zona de Conflicto,1,572353.0,45.0,44.0,45.0,37.949999999999996,2.5,32.6,Medio
Mancomunidad del Güisayote,1,249999.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Manos Unidas Campaña contra el Hambre en el Mundo,2,1331775.0,45.0,44.0,58.5,40.64999999999999,2.5,34.9,Medio
Matres Mundi,1,382266.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
MedCities,1,299999.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
Media Luna Roja Argelina,4,3400000.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
Media Luna Roja Palestina,1,500000.0,45.0,44.0,72.0,43.349999999999994,2.5,37.2,Medio
Ministerio Federal de Salud de Etiopía,2,1162680.0,35.0,44.0,65.0,38.45,2.5,33.1,Medio
Ministerio de Agricultura de la Republica Dominicana,1,350000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Ministerio de Agricultura y de Desarrollo de Recursos Naturales de Etiopía,1,750000.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
Ministerio de Ciencia y Educación de Etiopía,1,1000000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
"Ministerio de Culturas, Descoloniza y Despatriarcalización",2,112915.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Ministerio de Familia e Inclusión Social,1,545000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Ministerio de Finanzas de Palestina,2,4000000.0,45.0,44.0,72.0,43.349999999999994,2.5,37.2,Medio
Ministerio de Igualdad y Equidad de Colombia,1,130000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Ministerio de Interior,1,337678.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Ministerio de Justicia de Jordania,1,450000.0,25.0,44.0,40.0,29.95,2.5,25.8,Medio
Ministerio de Justicia de Mauritania,1,154999.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Ministerio de Salud Jordano,1,1000000.0,45.0,44.0,40.0,36.949999999999996,2.5,31.8,Medio
"Ministerio de Solidaridad, Inclusión Social y Familia (MSISF)",1,381000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
Ministerio de Trabajo y Previsión Social de Guatemala,1,300000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
Ministerio de la Mujer y la Equidad de Género (MMEG),1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Ministerio de la Producción de Perú,1,750000.0,45.0,44.0,50.0,38.949999999999996,2.5,33.5,Medio
Ministerio del Ambiente de Perú (MINAM),1,250000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Ministério da Agricultura e Ambiente,1,430000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Minsiterio de Justicia y Transparencia Institucional del Estado Plurinacional de Bolivia,3,450000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Mundukide Fundazioa,3,1560698.0,38.333333333333336,44.0,57.0,38.016666666666666,2.5,32.7,Medio
Municipalidad Distrital de La Jalca Grande,2,390000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Municipalidad Provincial de Chachapoyas,2,180000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Municipalidad de Guatemala,1,50000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
Municipalidad de Trujillo,1,200000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Médicos del Mundo,6,4514298.0,41.666666666666664,44.0,71.0,41.98333333333333,2.5,36.1,Medio
NASMAR - Mancomunidad de los Municipios del Sur,1,350000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
"NATIVA - ONG Naturaleza, Tierra y Vida",1,460000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
NDRMC - National Disaster Risk Management Commission,1,350000.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
NOVACT - Asociación Instituto Internacional por la Acción No Violenta,1,446811.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
NOVACT - Nova Centre per a la Innovació Social,3,1381431.0,31.666666666666668,44.0,41.333333333333336,32.550000000000004,2.5,28.0,Medio
OCHA - Oficina de Coordinación de Asuntos Humanitarios,10,10100000.0,41.0,44.0,68.4,41.23,2.5,35.4,Medio
OEA - Organización Estados Americanos,2,4000000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
OECD - Organisation for Economic Co-Operation and Development,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
"OEI - Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",7,5550300.0,30.714285714285715,44.0,59.285714285714285,35.80714285714286,2.5,30.8,Medio
OIM - Organización Internacional para las Migraciones,4,4550000.0,75.0,58.0,70.0,57.65,2.5,49.4,Medio
OISS - Organización Iberoamericana de Seguridad Social,2,1200000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
OIT - Organización Internacional del Trabajo,4,6300000.0,70.0,58.0,63.75,54.65,2.5,46.8,Medio
OLADE - Organización Latinoamericana de Energía,2,650000.0,35.0,44.0,53.5,36.15,2.5,31.1,Medio
OMS - Organización Mundial de la Salud,11,9250000.0,67.72727272727273,58.0,70.0,55.10454545454545,2.5,47.2,Medio
ON Habitat,1,900000.0,45.0,44.0,52.0,39.349999999999994,2.5,33.8,Medio
ONG Rescate Internacional,3,1999777.0,45.0,44.0,72.66666666666667,43.48333333333333,2.5,37.3,Medio
ONGAWA - Ingeniería para el Desarrollo Humano,5,2479666.0,37.0,44.0,55.6,37.269999999999996,2.5,32.1,Medio
ONIC - Organización Nacional Indígena de Colombia,1,150000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
ONU Mujeres,14,12550000.0,65.0,58.0,61.714285714285715,52.49285714285714,2.5,45.0,Medio
OPS - Organización Panamericana de la Salud,10,4510000.0,33.0,44.0,65.5,37.85,2.5,32.5,Medio
OTC Guatemala,1,90948.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
Of Nacional a Familia y Población,1,170000.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
Om Habibeh Foundation,1,400000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Organización Internacional del,1,790000.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
Organization for Social Science Research in Eastern and Southern Africa,1,200000.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
PFPPA - Palestinian Family Planning and Protection Association,1,256613.0,25.0,44.0,72.0,36.35,2.5,31.3,Medio
PMA - Programa Mundial de Alimentos,17,29747000.0,67.94117647058823,58.0,70.11764705882354,55.20294117647058,2.5,47.3,Medio
PNUD - Programa de las Naciones Unidas para el Desarrollo,12,15065000.0,63.333333333333336,58.0,61.25,51.81666666666666,2.5,44.4,Medio
PRODIVERSA - Progreso y Diversidad,3,1311763.0,25.0,44.0,61.666666666666664,34.28333333333334,2.5,29.5,Medio
Pastoral Social Diócesis de Quibdó,1,150000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Pontificia Universidad Católica del Perú (PUCP),1,303900.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Pro Conservación Peninsular,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Procuraduría General de la República Dominicana,2,650000.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
Proyecto Colombia Diversa,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Publish What You Fund LTD,1,40000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
RAP Pacífico - Región Administrativa y de Planificación del Pacífico,2,1090214.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
RWDS - Rural Women Development Society,2,485300.0,25.0,44.0,72.0,36.35,2.5,31.3,Medio
Red Adelco Colombia,1,400000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Red Peruana de Jóvenes Afrodescendientes Ashanti,1,100000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Región de Nuakchot,1,1608600.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
SANIT - Fundación Salud Naturaleza Integral,1,800000.0,45.0,44.0,52.0,39.349999999999994,2.5,33.8,Medio
SEE - Save Environment Ethiopia,1,578000.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
SEGIB - Secretaría General Iberoamericana,5,2970000.0,33.0,44.0,67.0,38.15,2.5,32.8,Medio
SEPREM - Secretaria Presidencial de la Mujer,1,300000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
SERAPAZ - Servicios y Asesoría para la Paz,1,50000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
SETCAM Honduras,1,275000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
SETEFE - Secretaría Técnica del Financiamiento Externo,1,600000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
SG-SICA - Secretaria General del Sistema de la Integración Centroamericana,3,1750000.0,38.333333333333336,44.0,68.66666666666667,40.349999999999994,2.5,34.7,Medio
SIV - SIV DevCo Maroc,1,380000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
SNDP - Sociedad Nacional de Distribución de Pescado,1,1248400.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Save The Children International,1,400000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Secretaria Nacional de Cultura,1,60000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Secretaria Provincial de Economía y Finanzas de Cabo Delgado,1,214950.0,25.0,44.0,68.0,35.55,2.5,30.6,Medio
Sendera ONG,1,709507.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
Shamseya for Innovative Community Healthcare Solutions,1,150000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Social Innovation Cluster For Change,1,858529.0,45.0,44.0,60.0,40.949999999999996,2.5,35.2,Medio
Socios-Mexico - Centro de Colaboración Cívica,1,199995.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Solidaridad Educación y Desarrollo,1,602569.0,45.0,44.0,48.0,38.55,2.5,33.1,Medio
Solidaridad Internacional - Nazioarteko Elkartasuna,1,597440.0,45.0,44.0,60.0,40.949999999999996,2.5,35.2,Medio
Solidaridad Internacional Andalucía,2,910525.0,25.0,44.0,66.5,35.25,2.5,30.3,Medio
Solidaridad para el Desarrollo y la Paz,1,605219.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
Spain-USA Foundation,1,175000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
St Andrew´s Refugee Services,1,250000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
"Studio Tamani, Project Fondation Hirondelle Mali",1,200000.0,25.0,44.0,78.0,37.55,2.5,32.3,Medio
Sustentia SL,1,235178.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Tadwein Gender Research Center,1,300000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Takween Integrated Community Development,1,400000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
Transparency International EV,1,275000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Trésorerie Géneràle du Royaume,1,150000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
UARIV - Unidad para la Atención y Reparación Integral a las Víctimas,1,1500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
UICN - Union Internationale Pour la Conservation de la Nature Et de Ses Ressources,2,850000.0,35.0,44.0,59.0,37.25,2.5,32.0,Medio
UNDRR - Oficina de Naciones Unidas para la Reducción del Riesgo de Desastres,1,450000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
UNESCO,1,500000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
UNICEF - Fondo de las Naciones Unidas para la Infancia,12,13450000.0,73.33333333333333,58.0,67.41666666666667,56.550000000000004,2.5,48.4,Medio
UNRISD - Instituto de Investigación de las Naciones Unidas para el Desarrollo Social,1,600000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
UNRWA,4,18500000.0,45.0,44.0,64.0,41.74999999999999,2.5,35.9,Medio
UPlanet,1,85257.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Union de Cooperativas Agropecuaria de Servicios Soppexcca RL,1,143461.0,25.0,44.0,68.0,35.55,2.5,30.6,Medio
Universidad Católica de San Pablo de Arequipa,1,76500.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Universidad Científica e Idiomas de America Latina Sociedad Civil (UCIL),1,200000.0,55.0,58.0,55.0,47.65,2.5,40.9,Medio
Universidad Nacional (UNTRM),2,220000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Universidad Nacional de Cajamarca (UNC),1,20000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Universidad Nacional de Quilmes (UNQ),1,299999.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Universidad Regional Amazónica,1,250000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Universidad de Almería,1,744272.0,45.0,44.0,60.0,40.949999999999996,2.5,35.2,Medio
Universidad de Piura,1,76500.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Universidad de Sevilla,2,1460238.0,45.0,44.0,52.5,39.449999999999996,2.5,33.9,Medio
Universidad de Vigo,2,808900.0,25.0,44.0,52.5,32.45,2.5,28.0,Medio
Universidad de Zaragoza,1,899900.0,45.0,44.0,65.0,41.949999999999996,2.5,36.0,Medio
Universidad del Nilo,1,350000.0,55.0,58.0,62.0,49.05,2.5,42.1,Medio
Universidad del Valle de Guatemala,1,300000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
UpM - Unión por el Mediterráneo,1,1000000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
Vicariato Apostólico de Esmeraldas,2,350000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Vicariato Apostólico de Iquitos,1,150000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Vivamos Humanos,1,250000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
WOLA - Oficina en Washington para Asuntos Latinoamericanos,1,488871.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Xarxa de Consum Solidari,1,792719.0,45.0,44.0,48.0,38.55,2.5,33.1,Medio
