id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso,codigo_crs,ambito,region_ocde,score_cruce,en_place,score_cruce_bdns,en_bdns,id_bdns,eslabon_corte,nombre_eslabon,score_trazabilidad,ruptura_r1,ruptura_r2,ruptura_r3,es_ooii,score_riesgo,score_trazabilidad_inv,score_integrado,clasificacion
z11-25-01-04903,Inclusión social y prevención de la violencia para personas vulnerables,Fondo de Población de Naciones Unidas,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Países en Vías de Desarrollo (No Especificado),700000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04903,15180,Gobernabilidad Democrática,No Especificado,0,False,60.0,False,,4,Destino geográfico declarado,56,False,True,True,False,32.4,44,37.04,AMARILLO
z11-25-01-04901,Prevención de violencia de género y salud sexual y reproductiva en emergencias,Fondo de Población de Naciones Unidas,72050 - Coordinación de la ayuda y servicios de apoyo,Países en Vías de Desarrollo (No Especificado),500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04901,72050,Acción Humanitaria,No Especificado,0,False,60.0,False,,4,Destino geográfico declarado,56,False,True,True,False,32.4,44,37.04,AMARILLO
z11-25-01-04802,Protección y asistencia en rutas migratorias,OIM - Organización Internacional para las Migraciones,"15190 - Facilitar la migración y movilidad ordenada, segura, regular y responsable",Países en Vías de Desarrollo (No Especificado),2100000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04802,15190,Gobernabilidad Democrática,No Especificado,0,False,56.47058823529412,False,,3,Registro en OOII / BDNS,42,True,True,True,True,47.5,58,51.7,NARANJA
z11-25-01-04801,Prevención del desplazamiento interno,OIM - Organización Internacional para las Migraciones,"15190 - Facilitar la migración y movilidad ordenada, segura, regular y responsable","Chad, Haití, Honduras, Nigeria",1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04801,15190,Gobernabilidad Democrática,América Latina y Caribe,100,True,56.47058823529412,False,,3,Registro en OOII / BDNS,42,True,False,True,True,47.5,58,51.7,NARANJA
z11-25-01-04702,Erradicación del trabajo infantil en América Latina,OIT - Organización Internacional del Trabajo,99810 - Sectores no especificados,Países en Vías de Desarrollo (No Especificado),900000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04702,99810,Sector 99xx,No Especificado,0,False,57.14285714285714,False,,3,Registro en OOII / BDNS,42,True,True,True,True,46.8,58,51.28,NARANJA
z11-25-01-04500,Adaptación al cambio climático en países en desarrollo,FA - Fondo de Adaptación al Cambio Climático,41010 - Política medioambiental y gestión administrativa,Países en Vías de Desarrollo (No Especificado),15000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04500,41010,Medio Ambiente y Cambio Climático,No Especificado,0,False,51.94805194805194,False,,3,Registro en OOII / BDNS,42,True,True,True,True,49.4,58,52.84,NARANJA
z11-25-01-04402,Apoyo a personas refugiadas supervivientes de violencia de género en Egipto,ACNUR - Oficina del Alto Comisionado de UNHCR,15170 - Organizaciones e instituciones de la igualdad de las mujeres,Egipto,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04402,15170,Gobernabilidad Democrática,Norte de África y Oriente Medio,100,True,52.87356321839081,False,,3,Registro en OOII / BDNS,42,True,False,True,True,45.2,58,50.32000000000001,NARANJA
z11-25-01-04202,Distribución de alimentos a la población saharaui refugiada en Tinduf,PMA - Programa Mundial de Alimentos,72040 - Asistencia alimentaria de emergencia,Población Refugiada Saharaui,450000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04202,72040,Acción Humanitaria,Otras Regiones,0,False,53.84615384615385,False,,3,Registro en OOII / BDNS,42,True,True,False,True,44.7,58,50.02,NARANJA
z11-25-01-04201,Ayuda alimentaria a la población de la Franja de Gaza,PMA - Programa Mundial de Alimentos,72040 - Asistencia alimentaria de emergencia,Palestina,450000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04201,72040,Acción Humanitaria,Norte de África y Oriente Medio,0,False,53.84615384615385,False,,3,Registro en OOII / BDNS,42,True,True,False,True,44.7,58,50.02,NARANJA
z11-25-01-04102,Capacitación para igualdad de género en la acción humanitaria,ACNUR - Oficina del Alto Comisionado de UNHCR,72050 - Coordinación de la ayuda y servicios de apoyo,Países en Vías de Desarrollo (No Especificado),150000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04102,72050,Acción Humanitaria,No Especificado,0,False,52.87356321839081,False,,3,Registro en OOII / BDNS,42,True,True,False,True,45.2,58,50.32000000000001,NARANJA
