id_convocatoria,numero_bdns,titulo,organo,fecha_publicacion,tipo,estado,url,fuente,importe_total_eur,n_beneficiarios
837367,635807,El premio nacional de Educación para el desarrollo Vicente Ferrer otorgado por la AECID en colaboración con el MEFP va dirigido a centros educativos sostenidos con fondos públicos que impulsen procesos educativos de ciudadanía global.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2022-06-27,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/635807,BDNS,29027.58,17
832329,630769,"Resolución de 1 de junio de 2022 la Presidencia de la AECID por la que se convocan subvenciones para la realización de proyectos de cooperación para el desarrollo, incluidos los de Educación para el desarrollo y la ciudadanía global en España.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2022-06-01,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/630769,BDNS,31857133.0,88
825252,623692,Resolución de 28 de abril de 2022 de la Presidencia de la AECID por la que se aprueba la convocatoria pública de concesión de subvenciones para la realización de convenios de cooperación para el desarrollo 2022-25,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2022-04-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/623692,BDNS,539999997.0,189
813770,612210,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para residencias en la Real Academia de España en Roma, curso académico 2022-20",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2022-02-25,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/612210,BDNS,0.0,0
812732,611172,Resolución de 18 de febrero de 2022 de la Presidencia de la AECID. Acciones de cooperación para el desarrollo en el ámbito de la acción humanitaria 2022,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2022-02-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/611172,BDNS,0.0,0
809420,607860,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para capacitación de jóvenes españoles, curso académico 2022-2023.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2022-01-27,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/607860,BDNS,0.0,0
804617,603057,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para ciudadanos de países de América Latina, África y Asia, curso 2022-2023",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-12-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/603057,BDNS,0.0,0
804504,602944,Convocatoria Instrumental Filipinas 2021 CHR Apoyo a la ejecución del Proyecto GOJUST Derechos Humanos II UE-AECID,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-12-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/602944,BDNS,0.0,0
802506,600946,Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2022/2023,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-12-16,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/600946,BDNS,0.0,0
789128,587568,Convocatoria Instrumental Filipinas 2021 BTA Apoyo a la ejecución del Proyecto SUBATRA Justicia y Sociedad UE-AECID,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-10-04,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/587568,BDNS,0.0,0
