id_contrato,titulo,organismo,fecha,link,tipo_procedimiento,importe_eur,adjudicacion_directa,fuente,id_expediente
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9228309,Contrato administrativo de suministro consistente en la adquisición de vehículos a motor para la Oficina Técnica de Cooperación en Colombia de la Agencia Española de Cooperación Internacional para el Desarrollo,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-03,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=bSfC7RhYqJYuf4aBO%2BvQlQ%3D%3D,No especificado,3383236.0,False,PLACE/ZIP-historico,2021/CTR/0900513
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9227653,Contrato administrativo de suministro consistente en la adquisición de vehículos a motor para la Oficina Técnica de Cooperación en Egipto de la Agencia Española de Cooperación Internacional para el Desarrollo,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-03,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=6XNsvIN5oiCiEJrVRqloyA%3D%3D,No especificado,77000.0,False,PLACE/ZIP-historico,2021/CTR/0900569
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249741,Contrato administrativo de servicios de mantenimiento informático con destino a la Oficina Técnica de Cooperación en República Dominicana de la Agencia Española de Cooperación Internacional para el Desarrollo,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=XBrZShpDNEZ7h85%2Fpmmsfw%3D%3D,No especificado,3094625.0,False,PLACE/ZIP-historico,2021/CTR/0900682
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249821,Contrato administrativo de servicios de diseño gráfico e imagen institucional en el Centro Cultural de España en La Paz (Bolivia) de la Agencia Española de Cooperación Internacional para el Desarrollo.,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=xmi5hJfT7o5vYnTkQN0%2FZA%3D%3D,No especificado,2617319.0,False,PLACE/ZIP-historico,2021/CTR/0900726
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249830,"Contrato administrativo de servicios de coordinación de la unidad de gestión del proyecto ""Acceso a la justicia para todos y reforma del sistema"", con destino en la Oficina Técnica de Cooperación en Bolivia de la Agencia Española de Cooperación Internacional para el Desarrollo.",Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=ZlJ80ZKCvMdvYnTkQN0%2FZA%3D%3D,No especificado,11394498.0,False,PLACE/ZIP-historico,2021/CTR/0900506
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249872,Contrato administrativo de servicios de mantenimiento de ascensores en el Centro Cultural de España en Chile de la Agencia Española de Cooperación Internacional para el Desarrollo.,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=yBXn2Bf8olmmq21uxhbaVQ%3D%3D,No especificado,657197.0,False,PLACE/ZIP-historico,2021/CTR/0900706
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249905,"Contrato administrativo de servicios para la gestión, seguimiento y ejecución de los resultados 1 y 2 de la acción ""Acceso a la justicia para todos y reforma del sistema"", con destino en la Oficina Técnica de Cooperación en Bolivia de la Agencia Española de Cooperación Internacional para el Desarrollo.",Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=ptVw2YpPrFXnSoTX3z%2F7wA%3D%3D,No especificado,78200.0,False,PLACE/ZIP-historico,2021/CTR/0900507
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249919,"Contrato administrativo de servicios administrativo financiero para la realización de las actividades contempladas en la acción ""Acceso a la justicia para todos y reforma del sistema"", con destino en la Oficina Técnica de Cooperación en Bolivia de la Agencia Española de Cooperación Internacional para el Desarrollo.",Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=awDbWaVosDmmq21uxhbaVQ%3D%3D,No especificado,6045264.0,False,PLACE/ZIP-historico,2021/CTR/0900508
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249947,Contrato administrativo de suministro consistente en la adquisición de vehículos a motor para la Oficina Técnica de Cooperación en Cabo Verde de la Agencia Española de Cooperación Internacional para el Desarrollo.,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=XC2n3HgCnpurz3GQd5r6SQ%3D%3D,No especificado,4171768.0,False,PLACE/ZIP-historico,2021/CTR/0900481
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9249961,Contrato administrativo de obras para la reparación y mantenimiento de las cubiertas (Tejados y Losas) que componen el Centro de Formación de la Cooperación Española de La Antigua Guatemala de la Agencia Española de Cooperación Internacional para el Desarrollo,Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID),2022-02-07,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=Yo6vNBxE9W0uf4aBO%2BvQlQ%3D%3D,No especificado,467582.0,False,PLACE/ZIP-historico,2021/CTR/0900475
